date,home_team,score,away_team
16-12-2024,,1 - 1,Bournemouth
09-12-2024,,2 - 1,West Ham
03-12-2024,,3 - 1,Leicester
30-11-2024,,2 - 5,West Ham
25-11-2024,,0 - 2,Newcastle
09-11-2024,,0 - 0,West Ham
02-11-2024,,3 - 0,Nott'm Forest
27-10-2024,,2 - 1,West Ham
19-10-2024,,4 - 1,Tottenham
05-10-2024,,4 - 1,West Ham
28-09-2024,,1 - 1,Brentford
21-09-2024,,0 - 3,West Ham
14-09-2024,,1 - 1,Fulham
31-08-2024,,1 - 3,West Ham
24-08-2024,,0 - 2,Crystal Palace
17-08-2024,,1 - 2,West Ham
25-05-2025,,1 - 1,Wolves
20-05-2025,,4 - 2,Crystal Palace
10-05-2025,,0 - 2,Wolves
02-05-2025,,1 - 0,Man City
26-04-2025,,3 - 0,Wolves
20-04-2025,,0 - 1,Man United
13-04-2025,,4 - 2,Wolves
05-04-2025,,1 - 2,Ipswich
01-04-2025,,1 - 0,Wolves
15-03-2025,,1 - 2,Southampton
08-03-2025,,1 - 1,Wolves
25-02-2025,,1 - 2,Wolves
22-02-2025,,0 - 1,Bournemouth
16-02-2025,,2 - 1,Liverpool
01-02-2025,,2 - 0,Wolves
25-01-2025,,0 - 1,Wolves
20-01-2025,,3 - 1,Chelsea
15-01-2025,,3 - 0,Newcastle
06-01-2025,,0 - 3,Wolves
29-12-2024,,2 - 2,Tottenham
26-12-2024,,2 - 0,Wolves
22-12-2024,,0 - 3,Leicester
14-12-2024,,1 - 2,Wolves
09-12-2024,,2 - 1,West Ham
04-12-2024,,4 - 0,Everton
30-11-2024,,2 - 4,Wolves
23-11-2024,,1 - 4,Fulham
09-11-2024,,2 - 0,Wolves
02-11-2024,,2 - 2,Wolves
26-10-2024,,2 - 2,Brighton
20-10-2024,,1 - 2,Wolves
05-10-2024,,5 - 3,Brentford
28-09-2024,,1 - 2,Wolves
21-09-2024,,3 - 1,Aston Villa
15-09-2024,,1 - 2,Wolves
31-08-2024,,1 - 1,Nott'm Forest
25-08-2024,,2 - 6,Wolves
17-08-2024,,2 - 0,Arsenal
