date,home_team,score,away_team
05-04-2025,2,2 - 1,Crystal Palace
02-04-2025,,0 - 3,Brighton
15-03-2025,,2 - 2,Man City
08-03-2025,,2 - 1,Brighton
25-02-2025,,2 - 1,Brighton
22-02-2025,,0 - 4,Southampton
14-02-2025,,3 - 0,Brighton
01-02-2025,,7 - 0,Nott'm Forest
25-01-2025,,0 - 1,Brighton
19-01-2025,,1 - 3,Man United
16-01-2025,,0 - 2,Ipswich
04-01-2025,,1 - 1,Brighton
30-12-2024,,2 - 2,Aston Villa
27-12-2024,,0 - 0,Brighton
21-12-2024,,1 - 1,West Ham
15-12-2024,,1 - 3,Brighton
08-12-2024,,2 - 2,Leicester
05-12-2024,,3 - 1,Fulham
29-11-2024,,1 - 1,Brighton
23-11-2024,,1 - 2,Bournemouth
09-11-2024,,2 - 1,Brighton
02-11-2024,,2 - 1,Liverpool
26-10-2024,,2 - 2,Brighton
19-10-2024,,0 - 1,Newcastle
06-10-2024,,3 - 2,Brighton
28-09-2024,,4 - 2,Chelsea
22-09-2024,,2 - 2,Brighton
14-09-2024,,0 - 0,Brighton
31-08-2024,,1 - 1,Arsenal
24-08-2024,,2 - 1,Brighton
17-08-2024,,0 - 3,Everton
25-05-2025,,0 - 1,Nott'm Forest
16-05-2025,,1 - 0,Chelsea
11-05-2025,,2 - 0,Newcastle
04-05-2025,,3 - 1,Chelsea
26-04-2025,,1 - 0,Chelsea
20-04-2025,,1 - 2,Fulham
13-04-2025,,2 - 2,Chelsea
06-04-2025,,0 - 0,Brentford
03-04-2025,,1 - 0,Chelsea
16-03-2025,,1 - 0,Arsenal
09-03-2025,,1 - 0,Chelsea
25-02-2025,,4 - 0,Chelsea
22-02-2025,,2 - 1,Aston Villa
14-02-2025,,3 - 0,Brighton
03-02-2025,,2 - 1,Chelsea
25-01-2025,,3 - 1,Man City
20-01-2025,,3 - 1,Chelsea
14-01-2025,,2 - 2,Chelsea
04-01-2025,,1 - 1,Crystal Palace
30-12-2024,,2 - 0,Ipswich
26-12-2024,,1 - 2,Chelsea
22-12-2024,,0 - 0,Everton
15-12-2024,,2 - 1,Chelsea
08-12-2024,,3 - 4,Tottenham
04-12-2024,,1 - 5,Southampton
01-12-2024,,3 - 0,Chelsea
23-11-2024,,1 - 2,Leicester
10-11-2024,,1 - 1,Chelsea
03-11-2024,,1 - 1,Man United
27-10-2024,,2 - 1,Chelsea
20-10-2024,,2 - 1,Liverpool
06-10-2024,,1 - 1,Chelsea
28-09-2024,,4 - 2,Chelsea
21-09-2024,,0 - 3,West Ham
14-09-2024,,0 - 1,Bournemouth
01-09-2024,,1 - 1,Chelsea
25-08-2024,,2 - 6,Wolves
18-08-2024,,0 - 2,Chelsea
25-05-2025,,1 - 1,Liverpool
20-05-2025,,4 - 2,Crystal Palace
11-05-2025,,0 - 2,Tottenham
05-05-2025,,1 - 1,Crystal Palace
23-04-2025,,2 - 2,Arsenal
19-04-2025,,0 - 0,Crystal Palace
16-04-2025,,5 - 0,Newcastle
12-04-2025,,5 - 2,Man City
05-04-2025,2,2 - 1,Crystal Palace
02-04-2025,,1 - 1,Southampton
08-03-2025,,1 - 0,Crystal Palace
25-02-2025,,4 - 1,Crystal Palace
22-02-2025,,0 - 2,Fulham
15-02-2025,,1 - 2,Crystal Palace
02-02-2025,,0 - 2,Man United
26-01-2025,,1 - 2,Crystal Palace
18-01-2025,,0 - 2,West Ham
15-01-2025,,0 - 2,Leicester
04-01-2025,,1 - 1,Crystal Palace
29-12-2024,,2 - 1,Crystal Palace
26-12-2024,,0 - 0,Bournemouth
21-12-2024,,1 - 5,Crystal Palace
15-12-2024,,1 - 3,Brighton
07-12-2024,,2 - 2,Crystal Palace
03-12-2024,,0 - 1,Ipswich
30-11-2024,,1 - 1,Crystal Palace
23-11-2024,,2 - 2,Aston Villa
09-11-2024,,0 - 2,Crystal Palace
02-11-2024,,2 - 2,Wolves
27-10-2024,,1 - 0,Crystal Palace
21-10-2024,,1 - 0,Nott'm Forest
05-10-2024,,0 - 1,Crystal Palace
28-09-2024,,2 - 1,Everton
21-09-2024,,0 - 0,Crystal Palace
14-09-2024,,2 - 2,Crystal Palace
01-09-2024,,1 - 1,Chelsea
24-08-2024,,0 - 2,Crystal Palace
18-08-2024,,2 - 1,Brentford
25-05-2025,,0 - 1,Newcastle
18-05-2025,,2 - 0,Everton
10-05-2025,,1 - 3,Fulham
03-05-2025,,2 - 2,Everton
26-04-2025,,1 - 0,Chelsea
19-04-2025,,0 - 2,Everton
12-04-2025,,0 - 1,Nott'm Forest
05-04-2025,,1 - 1,Everton
02-04-2025,,1 - 0,Liverpool
15-03-2025,,1 - 1,Everton
08-03-2025,,1 - 1,Wolves
26-02-2025,,1 - 1,Brentford
22-02-2025,,2 - 2,Everton
15-02-2025,,1 - 2,Crystal Palace
12-02-2025,,2 - 2,Everton
01-02-2025,,4 - 0,Everton
25-01-2025,,0 - 1,Brighton
19-01-2025,,3 - 2,Everton
15-01-2025,,0 - 1,Everton
04-01-2025,,1 - 0,Bournemouth
29-12-2024,,0 - 2,Everton
26-12-2024,,1 - 1,Man City
22-12-2024,,0 - 0,Everton
14-12-2024,,0 - 0,Arsenal
04-12-2024,,4 - 0,Everton
01-12-2024,,4 - 0,Man United
23-11-2024,,0 - 0,Everton
09-11-2024,,0 - 0,West Ham
02-11-2024,,1 - 0,Southampton
26-10-2024,,1 - 1,Everton
19-10-2024,,0 - 2,Ipswich
05-10-2024,,0 - 0,Everton
28-09-2024,,2 - 1,Everton
21-09-2024,,1 - 1,Leicester
14-09-2024,,3 - 2,Aston Villa
31-08-2024,,2 - 3,Everton
24-08-2024,,4 - 0,Tottenham
17-08-2024,,0 - 3,Everton
25-05-2025,,0 - 2,Fulham
18-05-2025,,2 - 3,Brentford
10-05-2025,,1 - 3,Fulham
03-05-2025,,1 - 0,Aston Villa
26-04-2025,,1 - 2,Southampton
20-04-2025,,1 - 2,Fulham
14-04-2025,,1 - 0,Bournemouth
06-04-2025,,3 - 2,Fulham
01-04-2025,,2 - 1,Arsenal
